Frage,Antwort
"Was passiert im Schlaflabor?,""Im Schlaflabor werden Ihr Schlafverhalten, Ihre Atmung und verschiedene Körperfunktionen während des Schlafs überwacht. Dazu werden Sensoren angebracht, die Messdaten aufzeichnen."""
"Was muss ich ins Schlaflabor mitbringen?,""Bitte bringen Sie bequeme Schlafkleidung, Ihre gewohnten Medikamente, einen aktuellen Überweisungsschein und persönliche Hygieneartikel mit."""
"Wie bereite ich mich auf die Nacht im Schlaflabor vor?,""Bitte kommen Sie möglichst ausgeschlafen. Verzichten Sie am Tag der Untersuchung möglichst auf Alkohol und koffeinhaltige Getränke."""
"Muss ich im Schlaflabor nüchtern sein?,""Nein, Sie müssen nicht nüchtern sein, können aber wie gewohnt essen und trinken."""
"Wie lange dauert die Untersuchung?,""Die Untersuchung findet in der Regel über eine Nacht statt. Am nächsten Morgen können Sie meist gegen 6–7 Uhr nach Hause gehen."""
"Was passiert, wenn ich nachts aufwache?,""Das ist kein Problem. Sie können sich jederzeit an das Pflegepersonal wenden."""
"Bekomme ich ein Einzelzimmer?,""In den meisten Fällen steht ein Einzelzimmer zur Verfügung. Sollte es Ausnahmen geben, werden Sie rechtzeitig informiert."""
"Darf ich mein Handy benutzen?,""Ja, Sie dürfen Ihr Handy benutzen, solange dadurch die Messungen nicht gestört werden."""
"Wann bekomme ich meine Ergebnisse?,""Die Auswertung erfolgt durch unsere Ärztinnen und Ärzte. Sie erhalten das Ergebnis in einem Nachgespräch oder auf Wunsch schriftlich."""
"Kann ich einen Angehörigen mitbringen?,""In der Regel ist eine Begleitung nicht möglich, Ausnahmen sind nach Rücksprache bei medizinischer Notwendigkeit denkbar."""
"Wie sage ich einen Termin ab?,""Bitte informieren Sie uns telefonisch oder per E-Mail, wenn Sie Ihren Termin nicht wahrnehmen können – möglichst mindestens 24 Stunden vorher."""
"Was kostet die Untersuchung?,""Die Kosten werden in der Regel von der gesetzlichen oder privaten Krankenversicherung übernommen."""
"Welche Unterlagen muss ich abgeben?,""Bitte bringen Sie eine aktuelle Überweisung, den Befundbericht Ihrer Voruntersuchung und die unterschriebene Vereinbarung zur Kostenregelung mit."""
"Kann ich meine eigenen Medikamente einnehmen?,""Ja, nehmen Sie Ihre Medikamente wie gewohnt ein. Bringen Sie diese bitte mit ins Schlaflabor."""
"Was ist, wenn ich unter Schlafstörungen leide?,""Genau dafür dient die Untersuchung im Schlaflabor – schildern Sie Ihre Beschwerden am besten beim Vorgespräch."""
